sn,name,price
1048,Cauli Local,33.00
1049,Cauli Local,33.00
1050,Cauli Local,33.00
1051,Cauli Local,33.00
1052,Cauli Local,34.00
1053,Cauli Local,43.00
1054,Cauli Local,37.00
1055,Cauli Local,33.00
1056,Cauli Local,28.00
1057,Cauli Local,22.00
1058,Cauli Local,28.00
1059,Cauli Local,28.00
1060,Cauli Local,26.00
1061,Cauli Local,18.00
1062,Cauli Local,18.00
1063,Cauli Local,18.00
1064,Cauli Local,18.00
1065,Cauli Local,18.00
1066,Cauli Local,18.00
1067,Cauli Local,18.00
1068,Cauli Local,18.00
1069,Cauli Local,18.00
